#,original,noisy,hamming,input delta
0,10,10.4,90,-0.40000000000000036
1,9.9,10.2,97,-0.29999999999999893
2,9.5,9.1,45,0.40000000000000036
3,8.9,8.5,60,0.40000000000000036
4,8,7.5,65,0.5
5,7,7,100,0
6,5.8,5.4,97,0.39999999999999947
7,4.4,4.3,100,0.10000000000000053
8,3,2.8,87,0.20000000000000018
9,1.5,2,45,-0.5
10,0,0,100,0
11,-1.5,0.2,0,-1.7
12,-2.9,-3.4,97,0.5
13,-4.2,-4.6,67,0.39999999999999947
14,-5.3,-6.3,20,1
15,-6.3,-6.4,97,0.10000000000000053
16,-7.1,-6.4,57,-0.6999999999999993
17,-7.7,-8.1,100,0.39999999999999947
18,-8,-7.5,67,-0.5
19,-8.2,-7.9,100,-0.29999999999999893
20,-8.1,-8.9,7,0.8000000000000007
21,-7.8,-7.7,100,-0.09999999999999964
22,-7.3,-7.3,100,0
23,-6.7,-6.7,100,0
24,-5.9,-6.5,57,0.5999999999999996
25,-5,-5.1,100,0.09999999999999964
26,-4,-3.5,65,-0.5
27,-3,-2.8,100,-0.20000000000000018
28,-2,-1.8,92,-0.19999999999999996
29,-1,-1.3,97,0.30000000000000004
30,0,0.2,95,-0.2
31,0.9,0.9,100,0
32,1.7,2.3,27,-0.5999999999999999
33,2.3,1.8,45,0.4999999999999998
34,2.8,3,87,-0.20000000000000018
35,3.2,3.3,97,-0.09999999999999964
36,3.4,3.9,30,-0.5
37,3.5,3.7,97,-0.20000000000000018
38,3.5,3.6,97,-0.10000000000000009
39,3.3,2.8,47,0.5
40,3.1,2.4,5,0.7000000000000002
41,2.8,2.4,52,0.3999999999999999
42,2.4,1.3,5,1.0999999999999999
43,1.9,2.4,47,-0.5
44,1.5,1.5,100,0
45,1.1,0.9,77,0.20000000000000007
46,0.7,0.2,55,0.49999999999999994
47,0.4,0.5,95,-0.09999999999999998
48,0.2,0.6,65,-0.39999999999999997
49,0,1,5,-1
50,0,-0.9,0,0.9
51,0,0.3,90,-0.3
52,0.2,0,95,0.2
53,0.4,0.9,42,-0.5
54,0.7,0.6,90,0.09999999999999998
55,1.1,1.3,80,-0.19999999999999996
56,1.5,1.7,87,-0.19999999999999996
57,1.9,1.7,75,0.19999999999999996
58,2.4,1.8,40,0.5999999999999999
59,2.8,3.5,45,-0.7000000000000002
60,3.1,3.3,95,-0.19999999999999973
61,3.3,3.8,82,-0.5
62,3.5,3.9,30,-0.3999999999999999
63,3.5,3.4,100,0.10000000000000009
64,3.4,2.7,37,0.6999999999999997
65,3.2,2.4,2,0.8000000000000003
66,2.8,2.4,52,0.3999999999999999
67,2.3,1.8,45,0.4999999999999998
68,1.7,3.2,0,-1.5000000000000002
69,0.9,1.4,52,-0.4999999999999999
70,0,-0.4,90,0.4
71,-1,-1,100,0
72,-2,-2.4,22,0.3999999999999999
73,-3,-2.7,100,-0.2999999999999998
74,-4,-3.4,32,-0.6000000000000001
75,-5,-4.6,62,-0.40000000000000036
76,-5.9,-5.6,65,-0.3000000000000007
77,-6.7,-6.7,100,0
78,-7.3,-7.3,100,0
79,-7.8,-6.4,0,-1.3999999999999995
80,-8.1,-8.5,80,0.40000000000000036
81,-8.2,-7.8,100,-0.39999999999999947
82,-8,-8.6,75,0.5999999999999996
83,-7.7,-7.2,30,-0.5
84,-7.1,-7,85,-0.09999999999999964
85,-6.3,-6.6,82,0.2999999999999998
86,-5.3,-5.4,100,0.10000000000000053
87,-4.2,-3.5,65,-0.7000000000000002
88,-2.9,-2.5,95,-0.3999999999999999
89,-1.5,-1.3,97,-0.19999999999999996
90,0,-0.1,100,0.1
91,1.5,1.4,97,0.10000000000000009
92,3,2.2,12,0.7999999999999998
93,4.4,4.2,100,0.20000000000000018
94,5.8,5.8,100,0
95,7,6.7,97,0.2999999999999998
96,8,7.7,100,0.2999999999999998
97,8.9,8.4,50,0.5
98,9.5,9.4,92,0.09999999999999964
99,9.9,10.3,90,-0.40000000000000036
100,10,10.4,90,-0.40000000000000036
101,9.9,10.9,0,-1
102,9.5,10.6,40,-1.0999999999999996
103,8.9,9.2,82,-0.29999999999999893
104,8,8,100,0
105,7,6.5,97,0.5
106,5.8,6.7,37,-0.9000000000000004
107,4.4,4.9,100,-0.5
108,3,2.3,40,0.7000000000000002
109,1.5,1.6,95,-0.10000000000000009
110,0,0,100,0
111,-1.5,-1.6,97,0.10000000000000009
112,-2.9,-2.3,77,-0.6000000000000001
113,-4.2,-5.7,2,1.5
114,-5.3,-5.7,75,0.40000000000000036
115,-6.3,-5.4,20,-0.8999999999999995
116,-7.1,-6.7,72,-0.39999999999999947
117,-7.7,-7.1,27,-0.6000000000000005
118,-8,-8.7,57,0.6999999999999993
119,-8.2,-8.5,80,0.3000000000000007
120,-8.1,-7,12,-1.0999999999999996
121,-7.8,-7.6,92,-0.20000000000000018
122,-7.3,-7,65,-0.2999999999999998
123,-6.7,-6.6,100,-0.10000000000000053
124,-5.9,-6,85,0.09999999999999964
125,-5,-5.2,100,0.20000000000000018
126,-4,-3.9,100,-0.10000000000000009
127,-3,-3.8,30,0.7999999999999998
128,-2,-2.1,97,0.10000000000000009
129,-1,-1.3,97,0.30000000000000004
130,0,-0.6,72,0.6
131,0.9,0.5,47,0.4
132,1.7,2.5,10,-0.8
133,2.3,2.9,45,-0.6000000000000001
134,2.8,2.3,47,0.5
135,3.2,3.9,25,-0.6999999999999997
136,3.4,2.7,37,0.6999999999999997
137,3.5,3.7,97,-0.20000000000000018
138,3.5,3.5,100,0
139,3.3,2.9,50,0.3999999999999999
140,3.1,2.3,5,0.8000000000000003
141,2.8,2.4,52,0.3999999999999999
142,2.4,2.1,65,0.2999999999999998
143,1.9,0.6,0,1.2999999999999998
144,1.5,1.5,100,0
145,1.1,1.2,90,-0.09999999999999987
146,0.7,0.9,72,-0.20000000000000007
147,0.4,0.5,95,-0.09999999999999998
148,0.2,0.4,85,-0.2
149,0,-0.2,100,0.2
150,0,0.5,75,-0.5
151,0,1,5,-1
152,0.2,0.3,95,-0.09999999999999998
153,0.4,0.2,85,0.2
154,0.7,1.5,25,-0.8
155,1.1,1.3,80,-0.19999999999999996
156,1.5,1.2,82,0.30000000000000004
157,1.9,3.4,0,-1.5
158,2.4,1.8,40,0.5999999999999999
159,2.8,2.4,52,0.3999999999999999
160,3.1,2.9,55,0.20000000000000018
161,3.3,4.9,0,-1.6000000000000005
162,3.5,3.4,100,0.10000000000000009
163,3.5,3.7,97,-0.20000000000000018
164,3.4,4.5,0,-1.1
165,3.2,3.9,25,-0.6999999999999997
166,2.8,2.6,75,0.19999999999999973
167,2.3,2,70,0.2999999999999998
168,1.7,2.4,25,-0.7
169,0.9,1.7,47,-0.7999999999999999
170,0,0.2,95,-0.2
171,-1,-1.3,97,0.30000000000000004
172,-2,-1.4,85,-0.6000000000000001
173,-3,-3,100,0
174,-4,-3.7,95,-0.2999999999999998
175,-5,-5.7,72,0.7000000000000002
176,-5.9,-6.2,67,0.2999999999999998
177,-6.7,-7.1,72,0.39999999999999947
178,-7.3,-7.3,100,0
179,-7.8,-8,100,0.20000000000000018
180,-8.1,-7.8,100,-0.2999999999999998
181,-8.2,-9.5,0,1.3000000000000007
182,-8,-8.1,100,0.09999999999999964
183,-7.7,-7.1,27,-0.6000000000000005
184,-7.1,-6.7,72,-0.39999999999999947
185,-6.3,-6.6,82,0.2999999999999998
186,-5.3,-5.5,90,0.20000000000000018
187,-4.2,-3.3,30,-0.9000000000000004
188,-2.9,-3.7,32,0.8000000000000003
189,-1.5,-1.9,87,0.3999999999999999
190,0,-0.6,72,0.6
191,1.5,0.5,0,1
192,3,2.1,10,0.8999999999999999
193,4.4,5.1,57,-0.6999999999999993
194,5.8,5.8,100,0
195,7,6.7,97,0.2999999999999998
196,8,7.3,42,0.7000000000000002
197,8.9,8.3,50,0.5999999999999996
198,9.5,9.3,75,0.1999999999999993
199,9.9,9.7,95,0.20000000000000107
Average,66.94
