#,original,noisy,hamming,input delta
0,10,9.7,95,0.3000000000000007
1,9.9,9.4,87,0.5
2,9.5,10.1,92,-0.5999999999999996
3,8.9,9.1,100,-0.1999999999999993
4,8,7.5,65,0.5
5,7,8.4,37,-1.4000000000000004
6,5.8,6.4,67,-0.6000000000000005
7,4.4,4.3,100,0.10000000000000053
8,3,3,100,0
9,1.5,1.9,62,-0.3999999999999999
10,0,-0.4,90,0.4
11,-1.5,-0.8,72,-0.7
12,-2.9,-3.5,65,0.6000000000000001
13,-4.2,-4.5,82,0.2999999999999998
14,-5.3,-5.1,97,-0.20000000000000018
15,-6.3,-6.6,82,0.2999999999999998
16,-7.1,-5.9,20,-1.1999999999999993
17,-7.7,-9.2,0,1.4999999999999991
18,-8,-8.8,27,0.8000000000000007
19,-8.2,-7.3,47,-0.8999999999999995
20,-8.1,-7.9,100,-0.1999999999999993
21,-7.8,-8.4,97,0.6000000000000005
22,-7.3,-6.6,52,-0.7000000000000002
23,-6.7,-6.4,85,-0.2999999999999998
24,-5.9,-6.6,47,0.6999999999999993
25,-5,-4.7,72,-0.2999999999999998
26,-4,-4.1,100,0.09999999999999964
27,-3,-3.4,97,0.3999999999999999
28,-2,-2.4,22,0.3999999999999999
29,-1,-0.7,30,-0.30000000000000004
30,0,0.7,50,-0.7
31,0.9,1.6,50,-0.7000000000000001
32,1.7,1.7,100,0
33,2.3,1.4,12,0.8999999999999999
34,2.8,2.8,100,0
35,3.2,1.3,0,1.9000000000000001
36,3.4,4,0,-0.6000000000000001
37,3.5,3.7,97,-0.20000000000000018
38,3.5,4.4,0,-0.9000000000000004
39,3.3,4.1,0,-0.7999999999999998
40,3.1,4.1,0,-0.9999999999999996
41,2.8,3.1,52,-0.30000000000000027
42,2.4,2.6,77,-0.20000000000000018
43,1.9,3.2,0,-1.3000000000000003
44,1.5,1.2,82,0.30000000000000004
45,1.1,1.9,42,-0.7999999999999998
46,0.7,0.4,70,0.29999999999999993
47,0.4,1,25,-0.6
48,0.2,0.2,100,0
49,0,-0.1,100,0.1
50,0,0.6,60,-0.6
51,0,-0.7,42,0.7
52,0.2,1.1,7,-0.9000000000000001
53,0.4,0.5,95,-0.09999999999999998
54,0.7,0.9,72,-0.20000000000000007
55,1.1,1.6,72,-0.5
56,1.5,0.8,27,0.7
57,1.9,1.6,67,0.2999999999999998
58,2.4,2.3,95,0.10000000000000009
59,2.8,2.1,17,0.6999999999999997
60,3.1,2.3,5,0.8000000000000003
61,3.3,3.4,97,-0.10000000000000009
62,3.5,4.5,0,-1
