Value-1,Value-2,delta,Hamming
10,9.9,0.1,100
3.3,3.2,0.1,97
-7.7,-7.8,0.1,100
-8,-8.1,0.1,100
-8.1,-8.2,0.1,100
3.5,3.4,0.1,100
3.4,3.3,0.1,97
3.2,3.1,0.1,97
3.1,3,0.1,65
2.4,2.3,0.1,95
-2.9,-3,0.1,100
1.9,1.7,0.2,75
1.7,1.5,0.2,87
3,2.8,0.2,87
1.1,0.9,0.2,77
0.9,0.7,0.2,72
0.4,0.2,0.2,85
0.2,0,0.2,95
-4,-4.2,0.2,100
-7.1,-7.3,0.2,80
-7.8,-8,0.2,100
0.7,0.4,0.3,70
-5,-5.3,0.3,97
2.8,2.4,0.4,52
2.3,1.9,0.4,52
1.5,1.1,0.4,72
-5.9,-6.3,0.4,65
-6.7,-7.1,0.4,72
9.9,9.5,0.4,95
-6.3,-6.7,0.4,82
-7.3,-7.7,0.4,47
-1,-1.5,0.5,95
-1.5,-2,0.5,87
9.5,8.9,0.6,45
-5.3,-5.9,0.6,52
-4.2,-5,0.8,30
-2,-2.9,0.9,10
8.9,8,0.9,45
4.4,3.5,0.9,0
8,7,1,42
0,-1,1,0
-3,-4,1,30
7,5.8,1.2,37
5.8,4.4,1.4,32
