s,original,noisy,hamming,input delta
0,10,10.4,97,-0.4
1,9.9,10.2,100,-0.3
2,9.5,9.1,100,0.4
3,8.9,8.5,92,0.4
4,8,7.5,70,0.5
5,7,7,100,0
6,5.8,5.4,77,0.4
7,4.4,4.3,100,0.1
8,3,2.8,85,0.2
9,1.5,2,65,-0.5
10,0,0,100,0
11,-1.5,0.2,2,-1.7
12,-2.9,-3.4,60,0.5
13,-4.2,-4.6,100,0.4
14,-5.3,-6.3,47,1
15,-6.3,-6.4,97,0.1
16,-7.1,-6.4,60,-0.7
17,-7.7,-8.1,100,0.4
18,-8,-7.5,100,-0.5
19,-8.2,-7.9,100,-0.3
20,-8.1,-8.9,97,0.8
21,-7.8,-7.7,100,-0.1
22,-7.3,-7.3,100,0
23,-6.7,-6.7,100,0
24,-5.9,-6.5,45,0.6
25,-5,-5.1,100,0.1
26,-4,-3.5,67,-0.5
27,-3,-2.8,95,-0.2
28,-2,-1.8,100,-0.2
29,-1,-1.3,72,0.3
30,0,0.2,95,-0.2
31,0.9,0.9,100,0
32,1.7,2.3,37,-0.6
33,2.3,1.8,40,0.5
34,2.8,3,85,-0.2
35,3.2,3.3,87,-0.1
36,3.4,3.9,87,-0.5
37,3.5,3.7,97,-0.2
38,3.5,3.6,97,-0.1
39,3.3,2.8,55,0.5
40,3.1,2.4,35,0.7
41,2.8,2.4,62,0.4
42,2.4,1.3,10,1.1
43,1.9,2.4,45,-0.5
44,1.5,1.5,100,0
45,1.1,0.9,72,0.2
46,0.7,0.2,60,0.5
47,0.4,0.5,95,-0.1
48,0.2,0.6,62,-0.4
49,0,1,2,-1
50,0,-0.9,40,0.9
51,0,0.3,87,-0.3
52,0.2,0,95,0.2
53,0.4,0.9,37,-0.5
54,0.7,0.6,95,0.1
55,1.1,1.3,90,-0.2
56,1.5,1.7,90,-0.2
57,1.9,1.7,82,0.2
58,2.4,1.8,30,0.6
59,2.8,3.5,55,-0.7
60,3.1,3.3,82,-0.2
61,3.3,3.8,92,-0.5
62,3.5,3.9,87,-0.4
63,3.5,3.4,100,0.1
64,3.4,2.7,42,0.7
65,3.2,2.4,30,0.8
66,2.8,2.4,62,0.4
67,2.3,1.8,40,0.5
68,1.7,3.2,0,-1.5
69,0.9,1.4,55,-0.5
70,0,-0.4,97,0.4
71,-1,-1,100,0
72,-2,-2.4,87,0.4
73,-3,-2.7,95,-0.3
74,-4,-3.4,67,-0.6
75,-5,-4.6,92,-0.4
76,-5.9,-5.6,90,-0.3
77,-6.7,-6.7,100,0
78,-7.3,-7.3,100,0
79,-7.8,-6.4,55,-1.4
80,-8.1,-8.5,97,0.4
81,-8.2,-7.8,100,-0.4
82,-8,-8.6,97,0.6
83,-7.7,-7.2,95,-0.5
84,-7.1,-7,100,-0.1
85,-6.3,-6.6,70,0.3
86,-5.3,-5.4,95,0.1
87,-4.2,-3.5,57,-0.7
88,-2.9,-2.5,100,-0.4
89,-1.5,-1.3,97,-0.2
90,0,-0.1,100,0.1
91,1.5,1.4,100,0.1
92,3,2.2,25,0.8
93,4.4,4.2,97,0.2
94,5.8,5.8,100,0
95,7,6.7,100,0.3
96,8,7.7,77,0.3
97,8.9,8.4,92,0.5
98,9.5,9.4,100,0.1
99,9.9,10.3,100,-0.4
100,10,10.4,97,-0.4
101,9.9,10.9,82,-1
102,9.5,10.6,95,-1.1
103,8.9,9.2,100,-0.3
104,8,8,100,0
105,7,6.5,100,0.5
106,5.8,6.7,90,-0.9
107,4.4,4.9,37,-0.5
108,3,2.3,35,0.7
109,1.5,1.6,97,-0.1
110,0,0,100,0
111,-1.5,-1.6,97,0.1
112,-2.9,-2.3,95,-0.6
113,-4.2,-5.7,77,1.5
114,-5.3,-5.7,87,0.4
115,-6.3,-5.4,52,-0.9
116,-7.1,-6.7,87,-0.4
117,-7.7,-7.1,95,-0.6
118,-8,-8.7,97,0.7
119,-8.2,-8.5,97,0.3
120,-8.1,-7,95,-1.1
121,-7.8,-7.6,100,-0.2
122,-7.3,-7,97,-0.3
123,-6.7,-6.6,100,-0.1
124,-5.9,-6,100,0.1
125,-5,-5.2,97,0.2
126,-4,-3.9,77,-0.1
127,-3,-3.8,57,0.8
128,-2,-2.1,100,0.1
129,-1,-1.3,72,0.3
130,0,-0.6,95,0.6
131,0.9,0.5,42,0.4
132,1.7,2.5,10,-0.8
133,2.3,2.9,40,-0.6
134,2.8,2.3,50,0.5
135,3.2,3.9,75,-0.7
136,3.4,2.7,42,0.7
137,3.5,3.7,97,-0.2
138,3.5,3.5,100,0
139,3.3,2.9,65,0.4
140,3.1,2.3,22,0.8
141,2.8,2.4,62,0.4
142,2.4,2.1,62,0.3
143,1.9,0.6,5,1.3
144,1.5,1.5,100,0
145,1.1,1.2,95,-0.1
146,0.7,0.9,67,-0.2
147,0.4,0.5,95,-0.1
148,0.2,0.4,90,-0.2
149,0,-0.2,100,0.2
150,0,0.5,80,-0.5
151,0,1,2,-1
152,0.2,0.3,92,-0.1
153,0.4,0.2,90,0.2
154,0.7,1.5,25,-0.8
155,1.1,1.3,90,-0.2
156,1.5,1.2,87,0.3
157,1.9,3.4,0,-1.5
158,2.4,1.8,30,0.6
159,2.8,2.4,62,0.4
160,3.1,2.9,82,0.2
161,3.3,4.9,15,-1.6
162,3.5,3.4,100,0.1
163,3.5,3.7,97,-0.2
164,3.4,4.5,70,-1.1
165,3.2,3.9,75,-0.7
166,2.8,2.6,85,0.2
167,2.3,2,62,0.3
168,1.7,2.4,27,-0.7
169,0.9,1.7,47,-0.8
170,0,0.2,95,-0.2
171,-1,-1.3,72,0.3
172,-2,-1.4,92,-0.6
173,-3,-3,100,0
174,-4,-3.7,70,-0.3
175,-5,-5.7,85,0.7
176,-5.9,-6.2,65,0.3
177,-6.7,-7.1,87,0.4
178,-7.3,-7.3,100,0
179,-7.8,-8,100,0.2
180,-8.1,-7.8,100,-0.3
181,-8.2,-9.5,15,1.3
182,-8,-8.1,100,0.1
183,-7.7,-7.1,95,-0.6
184,-7.1,-6.7,87,-0.4
185,-6.3,-6.6,70,0.3
186,-5.3,-5.5,92,0.2
187,-4.2,-3.3,50,-0.9
188,-2.9,-3.7,57,0.8
189,-1.5,-1.9,95,0.4
190,0,-0.6,95,0.6
191,1.5,0.5,0,1
192,3,2.1,12,0.9
193,4.4,5.1,22,-0.7
194,5.8,5.8,100,0
195,7,6.7,100,0.3
196,8,7.3,50,0.7
197,8.9,8.3,92,0.6
198,9.5,9.3,100,0.2
199,9.9,9.7,100,0.2
Average,76.33,,,
