#,original,noisy,hamming
0,10,10.4,97
1,9.9,9.7,100
2,9.5,9.4,100
3,8.9,9.3,100
4,8,9,50
5,7,7.9,70
6,5.8,6.1,97
7,4.4,5.6,20
8,3,2.2,25
9,1.5,1.6,97
10,0,-0.2,100
11,-1.5,-0.7,10
12,-2.9,-3.4,60
13,-4.2,-4.6,100
14,-5.3,-4.5,90
15,-6.3,-6.6,70
16,-7.1,-7.2,100
17,-7.7,-7.9,100
18,-8,-8.1,100
19,-8.2,-7.9,100
20,-8.1,-9.8,0
21,-7.8,-7.9,100
22,-7.3,-9.5,12
23,-6.7,-7.1,87
24,-5.9,-7.5,15
25,-5,-5.1,100
26,-4,-4,100
27,-3,-2.5,95
28,-2,-3.3,50
29,-1,-0.4,35
30,0,0.6,57
31,0.9,1.9,40
32,1.7,0.1,0
33,2.3,2,62
34,2.8,3.9,45
35,3.2,2.4,30
36,3.4,2.4,17
37,3.5,3.6,97
38,3.5,3.7,97
39,3.3,3.9,87
40,3.1,2.1,7
41,2.8,3.7,52
42,2.4,2,50
43,1.9,0.6,5
44,1.5,0.6,20
45,1.1,1.1,100
46,0.7,1.8,15
47,0.4,0.3,97
48,0.2,0.4,90
49,0,-0.7,92
50,0,0.2,95
51,0,0.1,97
52,0.2,-0.2,95
53,0.4,-0.5,85
54,0.7,0.8,95
55,1.1,1.2,95
56,1.5,1.6,97
57,1.9,2.9,5
58,2.4,3.2,30
59,2.8,2.1,25
60,3.1,3.5,82
61,3.3,3.8,92
62,3.5,4.5,70
63,3.5,4.4,70
64,3.4,3.3,100
65,3.2,2.8,67
66,2.8,3.7,52
67,2.3,2.5,67
68,1.7,2,75
69,0.9,1,77
70,0,-0.2,100
71,-1,-0.5,35
72,-2,-2.1,100
73,-3,-3,100
74,-4,-4.5,90
75,-5,-5.6,90
76,-5.9,-5.8,95
77,-6.7,-6,32
78,-7.3,-6.7,85
79,-7.8,-7.7,100
80,-8.1,-7.6,100
81,-8.2,-8.7,97
82,-8,-8.3,100
83,-7.7,-7.5,100
84,-7.1,-6.6,87
85,-6.3,-6.2,97
86,-5.3,-6.2,50
87,-4.2,-4.2,100
88,-2.9,-3.9,50
89,-1.5,-1.3,97
90,0,0.8,50
91,1.5,1.4,100
92,3,2.8,85
93,4.4,3.9,82
94,5.8,5.6,97
95,7,7.5,75
96,8,10.6,45
97,8.9,9.3,100
98,9.5,10.3,100
99,9.9,9.9,100
100,10,9.9,100
101,9.9,10,100
102,9.5,10,100
103,8.9,8.3,92
104,8,8.1,97
105,7,7.6,72
106,5.8,5.4,77
107,4.4,5.1,22
108,3,2.7,72
109,1.5,2.2,37
110,0,0.4,85
111,-1.5,0.1,2
112,-2.9,-2.9,100
113,-4.2,-4.3,100
114,-5.3,-5.7,87
115,-6.3,-7.5,52
116,-7.1,-7.5,95
117,-7.7,-6.9,95
118,-8,-8.3,100
119,-8.2,-7.9,100
120,-8.1,-9,95
121,-7.8,-7.8,100
122,-7.3,-6.4,57
123,-6.7,-6.8,100
124,-5.9,-5.7,92
125,-5,-5,100
126,-4,-2,10
127,-3,-3.2,72
128,-2,-0.2,0
129,-1,-1.7,67
130,0,0.5,80
131,0.9,0.8,70
132,1.7,1,70
133,2.3,2,62
134,2.8,2.8,100
135,3.2,3.3,87
136,3.4,3.8,92
137,3.5,3.2,87
138,3.5,4,85
139,3.3,3.3,100
140,3.1,3.8,75
141,2.8,2,15
142,2.4,2.5,80
143,1.9,1.5,72
144,1.5,0.3,0
145,1.1,1.4,82
146,0.7,0.3,67
147,0.4,-0.5,85
148,0.2,-0.6,90
149,0,-0.4,97
150,0,0,100
151,0,0.7,55
152,0.2,-0.1,95
153,0.4,0.3,97
154,0.7,0.5,75
155,1.1,0.5,15
156,1.5,-0.5,0
157,1.9,1.9,100
158,2.4,2.1,62
159,2.8,2.5,82
160,3.1,4,67
161,3.3,1.7,0
162,3.5,5.2,0
163,3.5,3.9,87
164,3.4,3.5,100
165,3.2,2.4,30
166,2.8,3.3,55
167,2.3,2.5,67
168,1.7,0.6,12
169,0.9,0.3,35
170,0,1.5,0
171,-1,0,32
172,-2,-0.6,2
173,-3,-5,15
174,-4,-5.2,80
175,-5,-5.7,85
176,-5.9,-6.5,45
177,-6.7,-6.8,100
178,-7.3,-8.1,97
179,-7.8,-7.3,97
180,-8.1,-9.5,15
181,-8.2,-9.8,0
182,-8,-9.3,45
183,-7.7,-8.2,100
184,-7.1,-8.2,95
185,-6.3,-6.3,100
186,-5.3,-4.9,97
187,-4.2,-3.9,67
188,-2.9,-2,82
189,-1.5,-2.4,82
190,0,0.8,50
191,1.5,1.5,100
192,3,4,55
193,4.4,4.3,100
194,5.8,5.2,77
195,7,7.7,72
196,8,8.4,57
197,8.9,8.3,92
198,9.5,9.8,100
199,9.9,10.4,97
Average,70.97,,
