#,original,noisy,hamming,input delta
0,10,10.1,100,-0.1
1,9.9,10,100,-0.1
2,9.5,10.1,100,-0.6
3,8.9,8,50,0.9
4,8,8.2,97,-0.2
5,7,6.5,100,0.5
6,5.8,6.6,90,-0.8
7,4.4,5,22,-0.6
8,3,2.4,47,0.6
9,1.5,1.3,92,0.2
10,0,0.2,95,-0.2
11,-1.5,-2.4,82,0.9
12,-2.9,-3.3,67,0.4
13,-4.2,-4.5,100,0.3
14,-5.3,-5.6,92,0.3
15,-6.3,-6,62,-0.3
16,-7.1,-6.3,57,-0.8
17,-7.7,-8.3,100,0.6
18,-8,-7.6,100,-0.4
19,-8.2,-7.6,100,-0.6
20,-8.1,-7.9,100,-0.2
21,-7.8,-7.6,100,-0.2
22,-7.3,-7.2,97,-0.1
23,-6.7,-6,32,-0.7
24,-5.9,-6.3,62,0.4
25,-5,-4.6,92,-0.4
26,-4,-3.4,67,-0.6
27,-3,-2.9,95,-0.1
28,-2,-1.6,97,-0.4
29,-1,-1.3,72,0.3
30,0,-0.3,97,0.3
31,0.9,0.5,42,0.4
32,1.7,1.4,90,0.3
33,2.3,1.8,40,0.5
34,2.8,3,85,-0.2
35,3.2,3.1,95,0.1
36,3.4,3.9,87,-0.5
37,3.5,3.4,100,0.1
38,3.5,3.8,92,-0.3
39,3.3,3,70,0.3
40,3.1,3.5,82,-0.4
41,2.8,2.7,87,0.1
42,2.4,2.6,77,-0.2
43,1.9,2.4,45,-0.5
44,1.5,1.5,100,0
45,1.1,0.8,42,0.3
46,0.7,0.4,70,0.3
47,0.4,0.6,72,-0.2
48,0.2,0.8,55,-0.6
49,0,0.6,57,-0.6
50,0,-0.1,100,0.1
51,0,-0.2,100,0.2
52,0.2,0.2,100,0
53,0.4,0.4,100,0
54,0.7,0.6,95,0.1
55,1.1,1.3,90,-0.2
56,1.5,1.3,92,0.2
57,1.9,1.7,82,0.2
58,2.4,2.6,77,-0.2
59,2.8,3,85,-0.2
60,3.1,3.1,100,0
61,3.3,3.4,100,-0.1
62,3.5,3.4,100,0.1
63,3.5,4,85,-0.5
64,3.4,3.5,100,-0.1
65,3.2,2.9,77,0.3
66,2.8,3.1,72,-0.3
67,2.3,2.2,87,0.1
68,1.7,1.7,100,0
69,0.9,0.1,25,0.8
70,0,0.2,95,-0.2
71,-1,-0.2,32,-0.8
72,-2,-2.5,82,0.5
73,-3,-3.8,57,0.8
74,-4,-3.2,60,-0.8
75,-5,-5.7,85,0.7
76,-5.9,-5.9,100,0
77,-6.7,-6.5,87,-0.2
78,-7.3,-7.3,100,0
