#,original,noisy,hamming,input delta
0,10,6.5,2,3.5
1,9.9,8.6,100,1.3000000000000007
2,9.5,10.3,100,-0.8000000000000007
3,8.9,7.8,50,1.1000000000000005
4,8,16,0,-8
5,7,7.6,67,-0.5999999999999996
6,5.8,4.6,67,1.2000000000000002
7,4.4,13.6,0,-9.2
8,3,3.8,90,-0.7999999999999998
9,1.5,6,0,-4.5
10,0,-4.3,0,4.3
11,-1.5,-1.6,95,0.10000000000000009
12,-2.9,-9.6,0,6.699999999999999
13,-4.2,-1.9,35,-2.3000000000000003
14,-5.3,-3.7,65,-1.5999999999999996
15,-6.3,-8.1,65,1.7999999999999998
16,-7.1,-8.6,92,1.5
17,-7.7,-6.4,72,-1.2999999999999998
18,-8,-11.9,0,3.9000000000000004
19,-8.2,-11.5,0,3.3000000000000007
20,-8.1,-9.9,0,1.8000000000000007
21,-7.8,-7,92,-0.7999999999999998
22,-7.3,-4.3,0,-3
23,-6.7,-4.3,10,-2.4000000000000004
24,-5.9,-7.2,42,1.2999999999999998
25,-5,1,0,-6
26,-4,-2.8,60,-1.2000000000000002
27,-3,-2.6,92,-0.3999999999999999
28,-2,3,0,-5
29,-1,2.7,0,-3.7
30,0,4.5,0,-4.5
31,0.9,1.8,60,-0.9
32,1.7,7.5,0,-5.8
33,2.3,-3.3,0,5.6
34,2.8,7.9,0,-5.1000000000000005
35,3.2,6.8,0,-3.5999999999999996
36,3.4,8.4,0,-5
37,3.5,7.1,0,-3.5999999999999996
38,3.5,3.5,100,0
39,3.3,8.9,0,-5.6000000000000005
40,3.1,-2.2,0,5.300000000000001
41,2.8,6.6,0,-3.8
42,2.4,4.7,7,-2.3000000000000003
43,1.9,-2.1,0,4
44,1.5,1.3,82,0.19999999999999996
45,1.1,4,0,-2.9
46,0.7,4.6,0,-3.8999999999999995
47,0.4,-7.2,0,7.6000000000000005
48,0.2,-3.8,0,4
49,0,3,0,-3
50,0,-2.3,5,2.3
51,0,6.4,0,-6.4
52,0.2,-5.6,0,5.8
53,0.4,3,0,-2.6
54,0.7,1,87,-0.30000000000000004
55,1.1,1.2,100,-0.09999999999999987
56,1.5,1.9,75,-0.3999999999999999
57,1.9,7.8,0,-5.9
58,2.4,6.2,0,-3.8000000000000003
59,2.8,4.2,42,-1.4000000000000004
60,3.1,2.5,82,0.6000000000000001
61,3.3,11.1,0,-7.8
62,3.5,1.8,27,1.7
63,3.5,0.5,0,3
64,3.4,0.5,0,2.9
65,3.2,3.3,100,-0.09999999999999964
66,2.8,0.5,0,2.3
67,2.3,0.1,0,2.1999999999999997
68,1.7,3.1,25,-1.4000000000000001
69,0.9,0.9,100,0
70,0,-3,5,3
71,-1,0.5,55,-1.5
72,-2,-4.5,27,2.5
73,-3,-3.2,95,0.20000000000000018
74,-4,3.2,0,-7.2
75,-5,-8.9,2,3.9000000000000004
76,-5.9,-0.7,0,-5.2
77,-6.7,-6.8,97,0.09999999999999964
78,-7.3,-7.3,100,0
79,-7.8,-9.7,0,1.8999999999999995
80,-8.1,-10.1,0,2
81,-8.2,-13.5,0,5.300000000000001
82,-8,-6.2,57,-1.7999999999999998
83,-7.7,-3.8,0,-3.9000000000000004
84,-7.1,-4.3,2,-2.8
85,-6.3,-6.8,80,0.5
86,-5.3,-1.8,15,-3.5
87,-4.2,1.4,0,-5.6
88,-2.9,-5.7,20,2.8000000000000003
89,-1.5,-3.2,60,1.7000000000000002
90,0,4.6,0,-4.6
91,1.5,2.2,62,-0.7000000000000002
92,3,3,100,0
93,4.4,6.7,65,-2.3
94,5.8,-0.5,0,6.3
95,7,0.1,0,6.9
96,8,-1.1,0,9.1
97,8.9,6.8,5,2.1000000000000005
98,9.5,15.1,0,-5.6
99,9.9,2.5,0,7.4
100,10,8.3,80,1.6999999999999993
101,9.9,12.6,0,-2.6999999999999993
102,9.5,10.3,100,-0.8000000000000007
103,8.9,8.1,70,0.8000000000000007
104,8,7.1,52,0.9000000000000004
105,7,13,0,-6
106,5.8,9.8,2,-4.000000000000001
107,4.4,6.4,65,-2
108,3,2,55,1
109,1.5,-6.7,0,8.2
110,0,-0.7,77,0.7
111,-1.5,-2.2,82,0.7000000000000002
112,-2.9,-13.4,0,10.5
113,-4.2,-2.8,57,-1.4000000000000004
114,-5.3,-9.2,0,3.8999999999999995
115,-6.3,-4.8,35,-1.5
116,-7.1,-9.8,0,2.700000000000001
117,-7.7,-12.9,0,5.2
118,-8,-10.3,0,2.3000000000000007
119,-8.2,-16.7,0,8.5
120,-8.1,-3.9,0,-4.199999999999999
121,-7.8,-13.5,0,5.7
122,-7.3,-8.1,97,0.7999999999999998
123,-6.7,-6.7,100,0
124,-5.9,-9.4,0,3.5
125,-5,-8.8,2,3.8000000000000007
126,-4,-4.1,100,0.09999999999999964
127,-3,-1.4,52,-1.6
128,-2,-1.7,92,-0.30000000000000004
129,-1,-2.5,40,1.5
130,0,-1.3,27,1.3
131,0.9,-1.1,25,2
132,1.7,7.4,0,-5.7
133,2.3,-0.6,0,2.9
134,2.8,6.4,0,-3.6000000000000005
135,3.2,-2.7,0,5.9
136,3.4,5.9,0,-2.5000000000000004
137,3.5,-5.6,0,9.1
138,3.5,-0.7,0,4.2
139,3.3,0,0,3.3
140,3.1,2.7,87,0.3999999999999999
141,2.8,-1.3,0,4.1
142,2.4,2.5,100,-0.10000000000000009
143,1.9,0.8,47,1.0999999999999999
144,1.5,2.1,62,-0.6000000000000001
145,1.1,9,0,-7.9
146,0.7,2.4,7,-1.7
147,0.4,0.8,67,-0.4
148,0.2,-6.3,0,6.5
149,0,0.9,60,-0.9
150,0,-0.5,87,0.5
151,0,8.9,0,-8.9
152,0.2,0.8,67,-0.6000000000000001
153,0.4,-1.9,12,2.3
154,0.7,-0.6,50,1.2999999999999998
155,1.1,3.1,2,-2
156,1.5,1.4,87,0.10000000000000009
157,1.9,2.2,87,-0.30000000000000027
158,2.4,1.3,20,1.0999999999999999
159,2.8,4.1,65,-1.2999999999999998
160,3.1,-0.9,0,4
161,3.3,3.1,97,0.19999999999999973
162,3.5,10.7,0,-7.199999999999999
163,3.5,6.6,0,-3.0999999999999996
164,3.4,8.5,0,-5.1
165,3.2,-4.7,0,7.9
166,2.8,-0.2,0,3
167,2.3,-8.1,0,10.399999999999999
168,1.7,1.5,92,0.19999999999999996
169,0.9,3.5,0,-2.6
170,0,6.6,0,-6.6
171,-1,-3.2,27,2.2
172,-2,-3.9,40,1.9
173,-3,-4.5,52,1.5
174,-4,5.5,0,-9.5
175,-5,-5.8,67,0.7999999999999998
176,-5.9,-1.4,2,-4.5
177,-6.7,-6.4,90,-0.2999999999999998
178,-7.3,-13.6,0,6.3
179,-7.8,-2.7,0,-5.1
180,-8.1,-10.9,0,2.8000000000000007
181,-8.2,-7.5,97,-0.6999999999999993
182,-8,-15.9,0,7.9
183,-7.7,-24.8,0,17.1
184,-7.1,-5,5,-2.0999999999999996
185,-6.3,-6.8,80,0.5
186,-5.3,1,0,-6.3
187,-4.2,-6.6,7,2.3999999999999995
188,-2.9,-11.9,0,9
189,-1.5,-1.8,92,0.30000000000000004
190,0,4.5,0,-4.5
191,1.5,-4.5,0,6
192,3,7.3,0,-4.3
193,4.4,8.4,2,-4
194,5.8,-2.3,0,8.1
195,7,4,17,3
196,8,6.2,42,1.7999999999999998
197,8.9,16.1,0,-7.200000000000001
198,9.5,11.1,72,-1.5999999999999996
199,9.9,10.8,85,-0.9000000000000004
Average,30.09
