#,original,noisy,hamming,input delta
0,10,11.7,0,-1.6999999999999993
1,9.9,7.2,15,2.7
2,9.5,7.3,25,2.2
3,8.9,12.6,0,-3.6999999999999993
4,8,13.2,0,-5.199999999999999
5,7,6.9,100,0.09999999999999964
6,5.8,9.4,2,-3.6000000000000005
7,4.4,5.9,65,-1.5
8,3,3.6,97,-0.6000000000000001
9,1.5,-2.4,0,3.9
10,0,1.8,20,-1.8
11,-1.5,1.1,0,-2.6
12,-2.9,-5.6,25,2.6999999999999997
13,-4.2,-3.4,72,-0.8000000000000003
14,-5.3,-6.1,52,0.7999999999999998
15,-6.3,-4.3,27,-2
16,-7.1,-8.5,95,1.4000000000000004
17,-7.7,-2.6,0,-5.1
18,-8,-10.2,0,2.1999999999999993
19,-8.2,-8.6,97,0.40000000000000036
20,-8.1,-5.3,5,-2.8
21,-7.8,-10.3,0,2.500000000000001
22,-7.3,-9.4,15,2.1000000000000005
23,-6.7,-6.5,92,-0.20000000000000018
24,-5.9,-8.6,35,2.6999999999999993
25,-5,-0.5,2,-4.5
26,-4,-2.1,42,-1.9
27,-3,-1.5,65,-1.5
28,-2,1.6,0,-3.6
29,-1,-1.9,52,0.8999999999999999
30,0,-3,5,3
31,0.9,1,95,-0.09999999999999998
32,1.7,2.1,67,-0.40000000000000013
33,2.3,5.8,0,-3.5
34,2.8,0,0,2.8
35,3.2,3.3,100,-0.09999999999999964
36,3.4,1.7,22,1.7
37,3.5,0.7,0,2.8
38,3.5,-0.4,0,3.9
39,3.3,3.7,97,-0.40000000000000036
40,3.1,1.8,30,1.3
41,2.8,-2.4,0,5.199999999999999
42,2.4,3.2,80,-0.8000000000000003
43,1.9,0.2,15,1.7
44,1.5,-5.2,0,6.7
45,1.1,0.4,57,0.7000000000000001
46,0.7,0.8,95,-0.10000000000000009
47,0.4,-0.7,72,1.1
48,0.2,-2.7,0,2.9000000000000004
49,0,-0.3,95,0.3
50,0,7.6,0,-7.6
51,0,2.8,0,-2.8
52,0.2,5.6,0,-5.3999999999999995
53,0.4,8.8,0,-8.4
54,0.7,2.7,2,-2
55,1.1,2.3,35,-1.1999999999999997
56,1.5,2,65,-0.5
57,1.9,3.8,35,-1.9
58,2.4,-3.7,0,6.1
59,2.8,1.6,22,1.1999999999999997
60,3.1,-2.4,0,5.5
61,3.3,3.2,100,0.09999999999999964
62,3.5,0.6,0,2.9
63,3.5,9,0,-5.5
64,3.4,1.8,27,1.5999999999999999
65,3.2,5.5,2,-2.3
66,2.8,1.7,27,1.0999999999999999
67,2.3,0.7,22,1.5999999999999999
68,1.7,7,0,-5.3
69,0.9,5,0,-4.1
70,0,0.5,90,-0.5
71,-1,6.8,0,-7.8
72,-2,-3,75,1
73,-3,-1.5,65,-1.5
74,-4,-5.8,52,1.7999999999999998
75,-5,-4.6,95,-0.40000000000000036
76,-5.9,-0.2,0,-5.7
77,-6.7,-11,0,4.3
78,-7.3,-1.4,0,-5.9
79,-7.8,-10.7,0,2.8999999999999995
80,-8.1,-6.3,65,-1.7999999999999998
81,-8.2,-5.2,5,-2.999999999999999
82,-8,-8.2,100,0.1999999999999993
83,-7.7,-7.4,97,-0.2999999999999998
84,-7.1,-9.7,0,2.5999999999999996
85,-6.3,-4.4,32,-1.8999999999999995
86,-5.3,-4.6,92,-0.7000000000000002
87,-4.2,-1.1,5,-3.1
88,-2.9,-7.5,0,4.6
89,-1.5,-2.5,72,1
90,0,4.4,0,-4.4
91,1.5,-2.7,0,4.2
92,3,0.3,0,2.7
93,4.4,5.5,67,-1.0999999999999996
94,5.8,4.1,32,1.7000000000000002
95,7,5.7,87,1.2999999999999998
96,8,2.6,0,5.4
97,8.9,7.1,12,1.8000000000000007
98,9.5,8,60,1.5
