0,6.5
1,8.6
2,10.3
3,7.8
4,16
5,7.6
6,4.6
7,13.6
8,3.8
9,6
10,-4.3
11,-1.6
12,-9.6
13,-1.9
14,-3.7
15,-8.1
16,-8.6
17,-6.4
18,-11.9
19,-11.5
20,-9.9
21,-7
22,-4.3
23,-4.3
24,-7.2
25,1
26,-2.8
27,-2.6
28,3
29,2.7
30,4.5
31,1.8
32,7.5
33,-3.3
34,7.9
35,6.8
36,8.4
37,7.1
38,3.5
39,8.9
40,-2.2
41,6.6
42,4.7
43,-2.1
44,1.3
45,4
46,4.6
47,-7.2
48,-3.8
49,3
50,-2.3
51,6.4
52,-5.6
53,3
54,1
55,1.2
56,1.9
57,7.8
58,6.2
59,4.2
60,2.5
61,11.1
62,1.8
63,0.5
64,0.5
65,3.3
66,0.5
67,0.1
68,3.1
69,0.9
70,-3
71,0.5
72,-4.5
73,-3.2
74,3.2
75,-8.9
76,-0.7
77,-6.8
78,-7.3
79,-9.7
80,-10.1
81,-13.5
82,-6.2
83,-3.8
84,-4.3
85,-6.8
86,-1.8
87,1.4
88,-5.7
89,-3.2
90,4.6
91,2.2
92,3
93,6.7
94,-0.5
95,0.1
96,-1.1
97,6.8
98,15.1
99,2.5
100,8.3
101,12.6
102,10.3
103,8.1
104,7.1
105,13
106,9.8
107,6.4
108,2
109,-6.7
110,-0.7
111,-2.2
112,-13.4
113,-2.8
114,-9.2
115,-4.8
116,-9.8
117,-12.9
118,-10.3
119,-16.7
120,-3.9
121,-13.5
122,-8.1
123,-6.7
124,-9.4
125,-8.8
126,-4.1
127,-1.4
128,-1.7
129,-2.5
130,-1.3
131,-1.1
132,7.4
133,-0.6
134,6.4
135,-2.7
136,5.9
137,-5.6
138,-0.7
139,0
140,2.7
141,-1.3
142,2.5
143,0.8
144,2.1
145,9
146,2.4
147,0.8
148,-6.3
149,0.9
150,-0.5
151,8.9
152,0.8
153,-1.9
154,-0.6
155,3.1
156,1.4
157,2.2
158,1.3
159,4.1
160,-0.9
161,3.1
162,10.7
163,6.6
164,8.5
165,-4.7
166,-0.2
167,-8.1
168,1.5
169,3.5
170,6.6
171,-3.2
172,-3.9
173,-4.5
174,5.5
175,-5.8
176,-1.4
177,-6.4
178,-13.6
179,-2.7
180,-10.9
181,-7.5
182,-15.9
183,-24.8
184,-5
185,-6.8
186,1
187,-6.6
188,-11.9
189,-1.8
190,4.5
191,-4.5
192,7.3
193,8.4
194,-2.3
195,4
196,6.2
197,16.1
198,11.1
199,10.8
